Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,27,7682278,8,21082287433554,6,56865829946843,0,684235239527962,0,684235239527962,4,1,0,2,0,0,2,1,0,0,8,0,2,16,4,0,0,20,20,20
2,0,86,3432079,5,0032887416035,4,52220328568008,0,416940728466958,0,764391335522756,5,1,81081081081081,0,0961538461538462,0,288461538461538,0,384615384615385,1,0,75,0,477611940298507,0,522388059701492,32,5,15,15,32,37,67
3,0,40,2185094,9,8462127489986,9,26702376376339,0,820517729083217,0,820517729083217,2,1,0,0588235294117647,0,0,0588235294117647,1,0,0,941176470588235,0,0588235294117647,32,2,0,0,32,34,34
4,1,27,7242424,13,417859887129,12,9985517656562,1,11815499059408,1,11815499059408,1,1,0,03125,0,0,03125,1,0,0,96875,0,03125,31,1,0,0,31,32,32
5,1,30,7852749,8,18573167914119,7,84465952584364,0,682144306595099,0,812076555470356,1,1,18181818181818,0,0416666666666667,0,0833333333333333,0,125,1,0,666666666666667,0,807692307692308,0,192307692307692,21,1,2,2,21,22,26
6,1,38,3753622,9,69371958136202,9,39079084444446,0,807809965113502,0,807809965113502,1,1,0,03125,0,0,03125,1,0,0,96875,0,03125,31,1,0,0,31,32,32
7,1,42,3779095,7,92865915200465,7,65525711228036,0,660721596000388,0,660721596000388,1,1,0,0344827586206897,0,0,0344827586206897,1,0,0,96551724137931,0,0344827586206897,28,1,0,0,28,29,29
8,1,23,7731281,14,6383765121764,14,1504306284372,1,21986470934803,1,21986470934803,1,1,0,0333333333333333,0,0,0333333333333333,1,0,0,966666666666667,0,0333333333333333,29,1,0,0,29,30,30
9,1,22,1810063,17,8531124622601,17,3571926716418,1,48775937185501,1,66809384117077,1,1,11764705882353,0,0277777777777778,0,0555555555555556,0,0833333333333333,1,0,666666666666667,0,868421052631579,0,131578947368421,33,1,2,2,33,34,38
10,1,36,0682695,5,65594088177699,5,37314383768814,0,471328406814749,0,582229208418219,1,1,22222222222222,0,05,0,1,0,15,1,0,666666666666667,0,772727272727273,0,227272727272727,17,1,2,2,18,18,22
